labid	subid	gender	CDI-form	CDI-agerange	CDI-agedays	vocab_nwords	standardized-score-CDI	CDI-error	Notes
chosunbaby	H15_Y12	M	K-CDI	18	557	81	NA	noerror	NA
chosunbaby	H02_Y01	F	K-CDI	18	571	19	NA	noerror	NA
chosunbaby	H14_Y11	M	K-CDI	18	554	118	NA	noerror	NA
chosunbaby	H13_Y10	F	K-CDI	18	552	122	NA	noerror	NA
chosunbaby	H12_Y09	M	K-CDI	18	559	17	NA	noerror	NA
chosunbaby	H68_O22	F	K-CDI	18	550	19	NA	noerror	NA
chosunbaby	H22_Y18	M	K-CDI	18	559	24	NA	noerror	NA
chosunbaby	H20_Y16	F	K-CDI	18	551	116	NA	noerror	NA
chosunbaby	H01_O01	F	K-CDI	24	735	137	NA	noerror	NA
chosunbaby	H17_O04	F	K-CDI	24	753	418	NA	noerror	NA
chosunbaby	H16_Y13	F	K-CDI	18	547	134	NA	noerror	NA
chosunbaby	H05_Y03	M	K-CDI	18	549	49	NA	noerror	NA
chosunbaby	H23_Y19	F	K-CDI	18	546	17	NA	noerror	NA
chosunbaby	H10_O03	F	K-CDI	24	734	225	NA	noerror	NA
chosunbaby	H73_O25	F	K-CDI	18	547	44	NA	noerror	NA
chosunbaby	H11_Y08	M	K-CDI	18	561	53	NA	noerror	NA
chosunbaby	H18_Y14	F	K-CDI	18	578	84	NA	noerror	NA
chosunbaby	H24_O05	F	K-CDI	24	761	293	NA	noerror	NA
chosunbaby	H47_Y32	M	K-CDI	18	574	99	NA	noerror	NA
chosunbaby	H90_O38	F	K-CDI	18	565	21	NA	noerror	NA
chosunbaby	H29_Y22	M	K-CDI	18	548	56	NA	noerror	NA
chosunbaby	H95_O39	F	K-CDI	18	547	36	NA	noerror	NA
chosunbaby	H52_Y35	M	K-CDI	18	550	34	NA	noerror	NA
chosunbaby	H63_O20	F	K-CDI	18	573	9	NA	noerror	NA
chosunbaby	H85_O33	M	K-CDI	18	550	8	NA	noerror	NA
chosunbaby	H97_O40	F	K-CDI	18	549	59	NA	noerror	NA
chosunbaby	H50_Y34	M	K-CDI	18	563	20	NA	noerror	NA
chosunbaby	H48_Y33	F	K-CDI	18	566	91	NA	noerror	NA
chosunbaby	H87_O35	M	K-CDI	18	549	174	NA	noerror	NA
chosunbaby	H25_O06	M	K-CDI	24	735	101	NA	noerror	NA
chosunbaby	H77_O29	F	K-CDI	18	549	80	NA	noerror	NA
chosunbaby	H81_O30	F	K-CDI	18	550	127	NA	noerror	NA
chosunbaby	H30_Y23	M	K-CDI	18	571	37	NA	noerror	NA
chosunbaby	H26_O07	F	K-CDI	24	731	469	NA	noerror	NA
chosunbaby	H36_O11	F	K-CDI	24	747	125	NA	noerror	NA
chosunbaby	H43_Y30	F	K-CDI	18	574	1	NA	noerror	NA
chosunbaby	H44_O14	F	K-CDI	24	758	74	NA	noerror	NA
chosunbaby	H40_Y27	M	K-CDI	18	564	16	NA	noerror	NA
chosunbaby	H58_Y40	F	K-CDI	18	551	38	NA	noerror	NA
chosunbaby	H88_O36	M	K-CDI	18	577	16	NA	noerror	NA
chosunbaby	H60_Y42	M	K-CDI	18	549	76	NA	noerror	NA
chosunbaby	H14_Y11	M	K-CDI	24	735	246	NA	noerror	NA
chosunbaby	H02_Y01	F	K-CDI	24	753	93	NA	noerror	NA
chosunbaby	H08_Y06	M	K-CDI	24	731	114	NA	noerror	NA
chosunbaby	H56_Y39	M	K-CDI	18	575	67	NA	noerror	NA
chosunbaby	H15_Y12	M	K-CDI	24	760	216	NA	noerror	NA
chosunbaby	H62_Y43	M	K-CDI	18	566	6	NA	noerror	NA
chosunbaby	H22_Y18	M	K-CDI	24	747	126	NA	noerror	NA
chosunbaby	H04_Y02	F	K-CDI	24	757	301	NA	noerror	NA
chosunbaby	H13_Y10	F	K-CDI	24	758	158	NA	noerror	NA
chosunbaby	H06_Y04	F	K-CDI	24	744	195	NA	noerror	NA
chosunbaby	H12_Y09	M	K-CDI	24	758	29	NA	noerror	NA
chosunbaby	H20_Y16	F	K-CDI	24	731	351	NA	noerror	NA
chosunbaby	H71_Y23	F	K-CDI	24	732	251	NA	noerror	NA
chosunbaby	H68_O22	F	K-CDI	24	759	129	NA	noerror	NA
chosunbaby	H27_Y20	F	K-CDI	24	758	309	NA	noerror	NA
chosunbaby	H64_Y44	M	K-CDI	18	576	91	NA	noerror	NA
chosunbaby	H39_Y26	M	K-CDI	24	758	225	NA	noerror	NA
chosunbaby	H67_Y46	M	K-CDI	18	563	85	NA	noerror	NA
chosunbaby	H23_Y19	F	K-CDI	24	731	44	NA	noerror	NA
chosunbaby	H16_Y13	F	K-CDI	24	747	209	NA	noerror	NA
chosunbaby	H47_Y32	M	K-CDI	24	731	228	NA	noerror	NA
chosunbaby	H18_Y14	F	K-CDI	24	738	254	NA	noerror	NA
chosunbaby	H11_Y08	M	K-CDI	24	731	155	NA	noerror	NA
chosunbaby	H73_O25	F	K-CDI	24	731	178	NA	noerror	NA
chosunbaby	H05_Y03	M	K-CDI	24	761	158	NA	noerror	NA
chosunbaby	H48_Y33	F	K-CDI	24	734	228	NA	noerror	NA
chosunbaby	H29_Y22	M	K-CDI	24	731	124	NA	noerror	NA
chosunbaby	H72_O24	F	K-CDI	24	737	137	NA	noerror	NA
chosunbaby	H30_Y23	M	K-CDI	24	738	184	NA	noerror	NA
chosunbaby	H66_Y45	M	K-CDI	18	575	129	NA	noerror	NA
chosunbaby	H97_O40	F	K-CDI	24	736	187	NA	noerror	Dad also answered with similar result
chosunbaby	H87_O35	M	K-CDI	24	732	224	NA	noerror	NA
chosunbaby	H84_Y52	F	K-CDI	18	551	55	NA	noerror	NA
chosunbaby	H90_O38	F	K-CDI	24	763	221	NA	noerror	NA
chosunbaby	H77_O29	F	K-CDI	24	733	230	NA	noerror	NA
chosunbaby	H81_O30	F	K-CDI	24	734	182	NA	noerror	NA
chosunbaby	H52_Y35	M	K-CDI	24	755	72	NA	noerror	NA
chosunbaby	H95_O39	F	K-CDI	24	757	174	NA	noerror	NA
chosunbaby	H40_Y27	M	K-CDI	24	748	129	NA	noerror	NA
chosunbaby	H94_Y56	M	K-CDI	18	549	3	NA	noerror	NA
chosunbaby	H62_Y43	M	K-CDI	24	753	9	NA	noerror	delayed speech
chosunbaby	H84_Y52	F	K-CDI	24	738	240	NA	noerror	NA
