dataset,subids
CDI,InfantCogUBC:50177
CDI,InfantCogUBC:50515
CDI,InfantCogUBC:50712
CDI,InfantCogUBC:50757
CDI,InfantCogUBC:50775
CDI,InfantCogUBC:50787
CDI,InfantCogUBC:50825
CDI,InfantCogUBC:50832
CDI,InfantCogUBC:50967
CDI,InfantCogUBC:51438
CDI,InfantCogUBC:51544
CDI,InfantCogUBC:51744
CDI,InfantCogUBC:51864
CDI,InfantCogUBC:51902
CDI,InfantCogUBC:52032
CDI,InfantCogUBC:52108
CDI,InfantCogUBC:52113
CDI,InfantCogUBC:52318
CDI,InfantCogUBC:52411
CDI,InfantCogUBC:52504
CDI,InfantCogUBC:52592
CDI,InfantCogUBC:52677
CDI,InfantCogUBC:52738
CDI,InfantCogUBC:52790
CDI,InfantCogUBC:52825
CDI,InfantCogUBC:52838
CDI,InfantCogUBC:52845
CDI,InfantCogUBC:52907
CDI,InfantCogUBC:52929
CDI,InfantCogUBC:53082
CDI,InfantCogUBC:53118
CDI,InfantCogUBC:53139
CDI,InfantCogUBC:53610
CDI,InfantCogUBC:53613
CDI,InfantCogUBC:53792
CDI,InfantCogUBC:53794
CDI,InfantCogUBC:54079
CDI,InfantCogUBC:54254
CDI,mb1r131fs3
CDI,mb1r133fs8
CDI,mb1r134fs10
CDI,mb1r143fs11
CDI,mb1r144fs8
CDI,mb1r84ms10
CDI,mbm12
CDI,mbm16
CDI,mbm18
CDI,mbm20
CDI,mbm6
CDI,4229
CDI,4269
CDI,4310
CDI,4311
CDI,4331
IDS,234573
IDS,234580
IDS,234585
IDS,234590
IDS,234592
IDS,234740
IDS,234858
IDS,234870
IDS,234889
IDS,235349
IDS,235367
IDS,235535
IDS,235971
IDS,236220
IDS,236491
IDS,236607
IDS,236809
IDS,236812
IDS,237608
IDS,237612
IDS,237615
IDS,238325
IDS,ad42
IDS,af30
IDS,at41
IDS,aw15
IDS,c12
IDS,ef18
IDS,el35
IDS,fe40
IDS,fl26
IDS,gb04
IDS,gh14
IDS,hm33
IDS,hs46
IDS,hv25
IDS,hv36
IDS,ih34
IDS,ja19
IDS,jj27
IDS,jr20
IDS,kw21
IDS,lc17
IDS,lf22
IDS,lp37
IDS,mb43
IDS,ml23
IDS,nk47
IDS,oj10
IDS,os32
IDS,ph39
IDS,qo11
IDS,sl05
IDS,ss09
IDS,tf44
IDS,th17
IDS,tm29
IDS,vd18
IDS,vf48
IDS,vm20
IDS,wm24
IDS,mb1r122ms4
IDS,mb1r132fs7
IDS,mb1r132ms2
IDS,mb1r141fs1
IDS,mb1r141fs9
IDS,mb1r142fs10
IDS,mb1r143ms16
IDS,mb1r143ms6
IDS,mb1r61ms10
IDS,mb1r62fs4
IDS,mb1r62ms3
IDS,mb1r71fs6
IDS,mb1r73ms3
IDS,mb1r73ms8
IDS,mb1r74fs11
IDS,mb1r83fs6
IDS,mb1r84fs7
IDS,mbir84ms10
IDS,mb003
IDS,mb004
IDS,mb005
IDS,mb006
IDS,mb008
IDS,mb009
IDS,mb010
IDS,mb011
IDS,mb012
IDS,mb013
IDS,mb014
IDS,mb015
IDS,mb016
IDS,mb017
IDS,mb019
IDS,mb020
IDS,mb021
IDS,mb022
IDS,mb023
IDS,mb024
IDS,mb025
IDS,mb026
IDS,mb027
IDS,mb028
IDS,mb029
IDS,mb030
IDS,mb031
IDS,mb032
IDS,mb033
IDS,mb034
IDS,mb035
IDS,mb036
IDS,mb037
IDS,mb038
IDS,mb039
IDS,mb040
IDS,mb041
IDS,mb042
IDS,mb043
IDS,mb044
IDS,mb045
IDS,mb046
IDS,mb047
IDS,mb048
IDS,mb049
IDS,mb050
IDS,mb051
IDS,mb052
IDS,mb053
IDS,mb054
IDS,mb055
IDS,mb056
IDS,mb058
IDS,mb059
IDS,mb060
IDS,mb061
IDS,mb062
IDS,mb063
IDS,mb064
IDS,mb065
IDS,mb066
IDS,mb067
IDS,mb068
IDS,mb069
IDS,mb070
IDS,mb071
IDS,mb072
IDS,mb073
IDS,mb074
IDS,mb075
IDS,mb076
IDS,mb077
IDS,mb078
IDS,mb079
IDS,mb080
IDS,mb081
IDS,mb082
IDS,mb083
IDS,mb084
IDS,mb085
IDS,mb086
IDS,mb087
IDS,mb088
IDS,mb089
IDS,mb090
IDS,mb091
IDS,mb092
IDS,mb093
IDS,mb094
IDS,mb095
IDS,mb096
IDS,mb097
IDS,mb098
IDS,mb001
IDS,mb006
IDS,mb008
IDS,mb013
IDS,mb020
IDS,mb026
IDS,mb027
IDS,mb028
IDS,mb031
IDS,mb032
IDS,yb002
IDS,yb007
IDS,yb008
IDS,yb018
IDS,yb025
IDS,yb027
IDS,yb033
IDS,yb035
IDS,yb037
IDS,yb038
IDS,yb039
IDS,4204
IDS,4206
IDS,4209
IDS,4218
IDS,4222
IDS,4223
IDS,4234
IDS,4250
IDS,4288
IDS,4293
IDS,4296
IDS,4297
IDS,4326
IDS,4330
IDS,4334
IDS,4340
IDS,4365
